url,title,category,description,publisher,cover type/page num.,ISBN-10,ISBN-13,best bellers rank,review score,num. of reviews,frequently bought togheter
https://www.amazon.com.br/Mais-esperto-que-Diabo-liberdade/dp/8568014003/,Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso,"['Livros', 'Educação, Referência e Didáticos', 'Escolas e Ensino']","Neste livro, inédito no Brasil, você vai descobrir, após 75 anos de segredo, por meio dessa entrevista exclusiva que Napoleon Hill fez, quebrando o código secreto da mente do Diabo: Quem é o Diabo? Onde ele habita? Quais suas principais armas mentais? Quem são os alienados e de que forma eles ou elas se alienam? De que forma o Diabo influencia a nossa vida do dia a dia? Como a sua dominação influencia nossas atitudes? O que é o medo? Como nossos líderes religiosos e nossos professores são afetados pelo Diabo? Quais as armas que nós, seres humanos, possuímos para combater a dominação do Diabo? Qual a visão do Diabo sobre a energia sexual? Como buscar uma vida cheia de realizações, valorizando a felicidade e a liberdade? Essas perguntas e muitas outras são respondidas pelo próprio Diabo, que se autodenomina Sua Majestade, de acordo com Napoleon Hill. O seu propósito, escrito com suas próprias palavras, é ajudar o ser humano a descobrir o seu real potencial, desvendando as armadilhas mentais que os homens e as mulheres deste mundo criam para si mesmos, sabotando a sua própria liberdade e o seu próprio direito de viver uma vida cheia de desafios, alegria e liberdade. Escrito em 1938, após uma das maiores crises econômicas, e precedendo a Segunda Guerra Mundial, este livro não somente é uma fonte de inspiração e coragem, mas deve ser considerado um manual para todas aquelas pessoas que desejam",Editora : Citadel; 1ª edição (10 julho 2014),Capa comum : 208 páginas,ISBN-10 : 8568014003,ISBN-13 : 978-8568014004,Ranking dos mais vendidos: Nº 18 em Livros (Conheça o Top 100 na categoria Livros),"Avaliações dos clientes: 4,7",40.064 avaliações de clientes,"['Quem pensa enriquece - o legado: O legado', 'O homem mais rico da Babilônia', 'Atitude mental positiva', 'Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas', 'Quem pensa enriquece: Edição oficial e original de 1937', 'Pai rico, pai pobre - edição de 20 anos atualizada e ampliada: o que os ricos ensinam a seus filhos sobre dinheiro']"
https://www.amazon.com.br/mulher-em-mim-Britney-Spears/dp/6553932573/,A mulher em mim,"['Livros', 'Arte, Cinema e Fotografia', 'Música']","A mulher em mim é uma história corajosa e surpreendentemente comovente sobre liberdade, fama, maternidade, sobrevivência, fé e esperança. Em junho de 2021, o mundo inteiro ouvia Britney Spears falar, publicamente, em uma corte perante uma juíza. O impacto ao compartilhar a sua voz ― a sua verdade ― foi inegável e mudou o curso tanto de sua vida como a de inúmeras outras pessoas. A mulher em mim revela pela primeira vez a incrível jornada e a força interior de uma das maiores artistas da história da música pop. Extraordinariamente escrita de forma sincera, direta e humorada, a inovadora autobiografia de Britney Spears esclarece o poder duradouro da música e do amor ― e a importância de uma mulher contar a sua própria história, em seus próprios termos, finalmente.",Editora : Buzz Editora; 1ª edição (24 outubro 2023),Capa dura : 280 páginas,ISBN-10 : 6553932573,ISBN-13 : 978-6553932579,Ranking dos mais vendidos: Nº 19 em Livros (Conheça o Top 100 na categoria Livros),"Avaliações dos clientes: 4,8",320 avaliações de clientes,"['Britney Spears Oracle: A Deck and Guidebook to Be Stronger Than Yesterday', 'The Woman in Me', 'Estou feliz que minha mãe morreu', 'Um conto de Natal', 'Devassos no Paraíso (4ª edição, revista e ampliada) - A homossexualidade no Brasil, da colônia à atualidade', 'The Meaning of Mariah Carey']"
https://www.amazon.com.br/Pr%C3%ADncipe-Maquiavel-Acompanha-marcador-p%C3%A1ginas/dp/6584956199/,O Príncipe Maquiavel - Edição de Luxo: Acompanha marcador de páginas,"['Livros', 'Política, Filosofia e Ciências Sociais', 'Governo e Política']","Publicado em 1532 pelo controverso e complexo filósofo Maquiavel, O Príncipe traz uma abordagem direta e desapaixonada acerca da natureza e do poder político. Neste tratado, o autor defende conceitos pragmáticos, entre os quais a ideia de um governante ser capaz de agir sem restrições morais para manter o controle de seu estado. Com base em exemplos históricos e em sua própria experiência como diplomata, Maquiavel também oferece conselhos práticos sobre como conquistar e manter o poder, reforçando, ainda, a importância de manter a lealdade do povo e dos aliados. Trata-se de um livro que oferece uma visão única e fascinante do mundo político de sua época, repleta de intrigas, conflitos e traições",Editora : Editora Garnier; 1ª edição (15 agosto 2023),Capa dura : 96 páginas,ISBN-10 : 6584956199,ISBN-13 : 978-6584956193,Ranking dos mais vendidos: Nº 32 em Livros (Conheça o Top 100 na categoria Livros),"Avaliações dos clientes: 4,6",1.812 avaliações de clientes,"['A Arte da Guerra - Sun Tzu - Edição Luxo: Acompanha marcador de páginas', 'Biblioteca Estoica: Grandes Mestres Volume 01 - Box com 4 Livros', 'O Pequeno Príncipe - Edição Luxo: Acompanha marcador de páginas', 'A divina comédia - Box com 3 livros', 'O Diário de Anne Frank - Edição Luxo: Acompanha marcador de páginas', 'Hamlet']"
https://www.amazon.com.br/Arte-ter-Raz%C3%A3o-Estratagemas-Precisar-ebook/dp/B07FYNSJYN/,A Arte de ter Razão - 38 Estratagemas para Vencer um Debate Sem Precisar Ter Razão,"['Loja Kindle', 'eBooks Kindle', 'Sociedade e Ciências Sociais']","“Dialética Erística é a arte de discutir, mais precisamente a arte de discutir de modo a ter razão, isto é, per fas et nefas [por meios lícitos ou ilícitos]” (Arthur Schopenhauer)É esta obra então um manual de patifaria intelectual? Não! O texto desmascara os esquemas da argumentação maliciosa e falsa, sempre em uso. Foi escrito não para uso dos patifes, mas sim para a proteção de suas vítimas. Schopenhauer diz: “Seria uma coisa muito boa se cada estratagema pudesse receber algum nome curto e obviamente apropriado, de modo que quando um homem usasse este ou aquele truque em particular, ele poderia ser imediatamente repreendido por isso.”Antes de tudo é um guia prático. Para estudá-lo sob este aspecto, o leitor deve examinar cada estratagema e buscar no cotidiano (na imprensa, nos discursos de políticos, nos debates de TV, opiniões intelectuais do momento) exemplos de sua aplicação. O manuscrito quase acabado, encontrado sem título na casa de Schopenhauer (1788-1860), foi publicado em 1864 por Julius Frauenstädt com o Título “Eristische Dialektik: Die Kunst, Recht zu behalten”. A obra já foi publicada em português sob vários títulos, tais como “Dialética”, “Dialética Erística”, “A Arte de ter razão” e mais recentemente com “Como vencer um debate sem precisar ter razão – em 38 estratagemas” e “38 Estratégias para vencer qualquer debate”. A concepção de Schopenhauer da dialética é a de uma lógica das aparências, que se resume, enfim, numa arte de disputar. Nessa percepção, dialética, retórica e sofística são reduzidas a um mesmo conceito e absorvidas na erística.Esta edição bilíngue traz o texto original de Schopenhauer e uma tradução moderna, mais próxima possível do pretendido pelo autor. ",Editora : Montecristo Editora (25 julho 2018),Número de páginas : 125 páginas,Ranking dos mais vendidos: Nº 164 em Loja Kindle (Conheça o Top 100 na categoria Loja Kindle),"Avaliações dos clientes: 4,3",426 avaliações de clientes,"['A Arte da Prudência', 'Sobre a Tranquilidade da Alma', 'Sobre a Amizade', 'Sobre a Ira', 'Sobre a Constância do Sábio', 'Dicionário Filosófico']"
https://www.amazon.com.br/arte-ter-raz%C3%A3o-38-estratagemas/dp/8532655807/,A arte de ter razão: 38 estratagemas,"['Livros', 'Volta às Aulas', 'Universitários, Técnicos e Profissionais']","Neste livro Schopenhauer apresenta 38 estratégias sobre a arte de vencer um oponente num debate, não importando os meios, utilizando a maior ferramenta que possuímos; a palavra. É possível recorrer a estes estratagemas, lícitos e ilícitos, para 'obter' razão, e defendê-la quando ela estiver do nosso lado ou conquistá-la quando estiver do lado do adversário. Com frieza classificatória, Schopenhauer indica 'os caminhos oblíquos e os truques de que se serve a natureza humana em geral para ocultar seus defeitos'.",Editora : Vozes De Bolso; 1ª edição (8 novembro 2017),Capa comum : 64 páginas,ISBN-10 : 8532655807,ISBN-13 : 978-8532655806,Ranking dos mais vendidos: Nº 42 em Livros (Conheça o Top 100 na categoria Livros),"Avaliações dos clientes: 4,6",4.179 avaliações de clientes,"['Sobre como lidar consigo mesmo', 'Biblioteca Estoica: Grandes Mestres Volume 01 - Box com 4 Livros', 'Existencialismo é um humanismo: Edição de Bolso', 'A Arte de Escrever', 'Identidade e diferença - Edição de Bolso', '38 estratégias para vencer qualquer debate']"
https://www.amazon.com.br/morte-dia-vale-pena-viver/dp/8543107202/,A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,"['Livros', 'Saúde e Família', 'Saúde Pessoal']","Sobre a arte de ganhar existem muitas lições, mas e sobre a arte de perder? Ninguém quer falar a respeito disso, mas a verdade é que passamos muito tempo da vida em grande sofrimento quando perdemos bens, pessoas, realidades, sonhos.   Saber perder é a arte de quem conseguiu viver plenamente o que ganhou um dia.Em 2012, Ana Claudia Quintana Arantes deu uma palestra ao TED que rapidamente viralizou, ultrapassando a marca de 1,7 milhão de visualizações. A última fala do vídeo, A morte é um dia que vale a pena viver, se tornou o título do livro que, desde seu lançamento em 2016, vem conquistando um público cada vez maior.Uma das maiores referências sobre Cuidados Paliativos no Brasil, a autora aborda o tema da finitude sob um ângulo surpreendente. Segundo ela, o que deveria nos assustar não é a morte em si, mas a possibilidade de chegarmos ao fim da vida sem aproveitá-la, de não usarmos nosso tempo da maneira que gostaríamos. Invertendo a perspectiva do senso comum, somos levados a  repensar nossa própria existência e a oferecer às pessoas ao re dor a oportunidade de viverem bem até o dia de sua partida. Em  vez de medo e angústia, devemos aceitar nossa essência para que o fim seja apenas o término natural de uma caminhada.Completamente revista e ampliada, esta edição é uma bela ode à vida e à humanidade.EDIÇÃO BRASILEIRA",Editora : Editora Sextante; 1ª edição (7 fevereiro 2019),Capa comum : 192 páginas,ISBN-10 : 8543107202,ISBN-13 : 978-8543107202,Ranking dos mais vendidos: Nº 46 em Livros (Conheça o Top 100 na categoria Livros),"Avaliações dos clientes: 4,8",16.569 avaliações de clientes,"['Pra vida toda valer a pena viver: Pequeno manual para envelhecer com alegria', 'Histórias lindas de morrer', 'Talvez você deva conversar com alguém: Uma terapeuta, o terapeuta dela e a vida de todos nós', 'Sobre a morte e o morrer: O que os Doentes Terminais têm para Ensinar a Médicos, Enfermeiras, Religiosos e aos seus Próprios Parentes', 'A gente mira no amor e acerta na solidão', 'Enquanto eu respirar: Dançando com o tempo e com todas as possibilidades de estar viva até o último suspiro']"
https://www.amazon.com.br/Descolonizando-afetos-Experimenta%C3%A7%C3%B5es-outras-formas/dp/8542223799/,Descolonizando afetos: Experimentações sobre outras formas de amar,"['Livros', 'Política, Filosofia e Ciências Sociais', 'Ciências Sociais']","EM UM TEMPO NO QUAL AS VELHAS RESPOSTAS JÁ NÃO ATENDEM ÀS QUESTÕES QUE NOS AFLIGEM, UM LIVRO SOBRE ACOLHER NOSSAS LIBERDADES E SINGULARIDADESAtravessada pela poética de seu povo, a ativista indígena Guarani, psicóloga e escritora Geni Núñez promove em Descolonizando afetos um exercício de repensar a exclusividade nos relacionamentos afetivos, partilhando reflexões anticoloniais sobre o tema, tanto do ponto de vista histórico e macropolítico quanto em relação às nuances cotidianas e interpessoais. A partir de uma perspectiva original e com uma linguagem única, a autora desconstrói alguns dos equívocos mais comuns a respeito da não monogamia e desenvolve reflexões que podem servir de acolhimento a pessoas que desejam vivenciar outras formas de amar.",Editora : Paidós; 1ª edição (30 outubro 2023),Capa comum : 192 páginas,ISBN-10 : 8542223799,ISBN-13 : 978-8542223798,Ranking dos mais vendidos: Nº 48 em Livros (Conheça o Top 100 na categoria Livros),"Avaliações dos clientes: 4,7",4 avaliações de clientes,"['Jaxy Jaterê', 'O Desafio Poliamoroso. Por Uma Nova Política dos Afetos', 'Ética do Amor Livre: Guia Prático Para Poliamor, Relacionamentos Abertos e Outras Liberdades Afetivas', 'A terra dá, a terra quer', 'Dysphoria mundi: O som do mundo desmoronando', 'Tudo Sobre o Amor']"
https://www.amazon.com.br/Aurora-despertar-exausta-Marcela-Ceribelli/dp/6555114215/,Aurora: O despertar da mulher exausta,"['Livros', 'Política, Filosofia e Ciências Sociais', 'Ciências Sociais']","Entre paranoias, medos, desejos e ânsias do dia a dia, a criadora da comunidade Obvious, Marcela Ceribelli, convida mulheres a se libertarem de amarras sociais e refletirem sobre tudo aquilo que as impede de encontrarem sua melhor versão e serem felizes. Acordar preocupada com as tarefas do dia. Otimizar a ida ao trabalho ouvindo notícias ou respondendo e-mails. Almoçar correndo pra ganhar tempo. E tudo isso sendo linda, bem-sucedida e gentil. Sorridente. Pra quem mesmo? Da criadora da Obvious, comunidade com mais de 1 milhão de seguidores no Instagram, e do podcast Bom dia, Obvious, Aurora é um convite a todas as mulheres que estão exaustas das demandas que elas mesmas e a sociedade fazem sobre suas carreiras, seus relacionamentos, seus corpos, suas personalidades. Com o humor inteligente que lhe é peculiar e muita empatia, Marcela Ceribelli intercala relatos de experiências pessoais com estudos científicos e comentários de especialistas das mais diversas áreas (como psicologia, moda, saúde e artes), investigando as origens das expectativas que recaem sobre as mulheres e apontando caminhos para um despertar mais amoroso. O que você pode fazer pela sua felicidade hoje? ",Editora : HarperCollins; 1ª edição (15 novembro 2022),Capa comum : 288 páginas,ISBN-10 : 6555114215,ISBN-13 : 978-6555114218,Ranking dos mais vendidos: Nº 52 em Livros (Conheça o Top 100 na categoria Livros),"Avaliações dos clientes: 4,8",2.162 avaliações de clientes,"['Indomável', 'De olhos abertos: Uma história não contada sobre relacionamento abusivo', 'A Prateleira do Amor: Sobre Mulheres, Homens e Relações', 'Primeiro eu tive que morrer: Romance', 'Os quatro compromissos: O livro da filosofia Tolteca', 'A gente mira no amor e acerta na solidão']"
https://www.amazon.com.br/Biblioteca-Estoica-Grandes-Mestres-livros/dp/6580921609/,Biblioteca Estoica: Grandes Mestres Volume 01 - Box com 4 Livros,"['Livros', 'História', 'Antiga']","A coleção Biblioteca Estoica: Grandes Mestres traz os principais expoentes da filosofia estoica, apresentando os ensinamentos mais importantes em 4 livros indispensáveis para a sua coleção.",Editora : Camelot Editora; 1ª edição (21 outubro 2022),Capa comum : 512 páginas,ISBN-10 : 6580921609,ISBN-13 : 978-6580921607,Ranking dos mais vendidos: Nº 61 em Livros (Conheça o Top 100 na categoria Livros),"Avaliações dos clientes: 4,8",1.773 avaliações de clientes,"['Biblioteca Estoica: Grandes Mestres Volume 02 - Box com 4 livros', 'Essencial da Filosofia Grega - Box 3 Livros', 'Coleção Mitologias | Kit com 3 Livros', 'O Príncipe Maquiavel - Edição de Luxo: Acompanha marcador de páginas', 'Segredos do Egito - Box com 3 Livros', 'A arte de ter razão: 38 estratagemas']"
https://www.amazon.com.br/Talvez-voc%C3%AA-deva-conversar-algu%C3%A9m/dp/6599039812/,"Talvez você deva conversar com alguém: Uma terapeuta, o terapeuta dela e a vida de todos nós","['Livros', 'Política, Filosofia e Ciências Sociais', 'Ciências Sociais']","De modo geral, buscamos a ajuda de um terapeuta para melhor compreender as angústias, os medos, a culpa ou quaisquer outros sentimentos que nos causam desconforto e sofrimento. Mas quantos de nós já paramos para perguntar: o terapeuta está imune à gama de questões que ele auxilia seus pacientes a dirimir e superar, dia após dia? A autora best-seller e terapeuta Lori Gottlieb nos mostra que a resposta a essa pergunta traz revelações surpreendentes.Quando ela se vê emocionalmente incapaz de gerenciar uma situação que perturba sua vida, uma amiga lhe faz uma sugestão: talvez você deva conversar com alguém.Combinando histórias reunidas a partir de sua rica trajetória como terapeuta (distribuídas entre quatro personagens inesquecíveis) à sua própria experiência como paciente, Lori nos oferece um relato afetuoso, leve e comovente sobre a universalidade de nossas perguntas e ansiedades, e joga luz sobre o que há de mais misterioso em nós, afirmando nossa capacidade de mudar nossas vidas.Uma jornada emocionante de autodescoberta, uma homenagem à natureza humana e um lembrete sobre a importância de sermos ouvidos, mas também de sabermos ouvir. Um livro sobre a importância dos encontros, dos afetos e da coragem de todos os que partimos para a aventura do autoconhecimento.",Editora : Vestígio; 1ª edição (22 abril 2020),Capa comum : 448 páginas,ISBN-10 : 6599039812,ISBN-13 : 978-6599039812,Ranking dos mais vendidos: Nº 62 em Livros (Conheça o Top 100 na categoria Livros),"Avaliações dos clientes: 4,8",15.038 avaliações de clientes,"['WORKBOOK: Talvez você deva conversar com alguém: Um guia para revisar sua história e mudar sua vida', 'DIÁRIO: Talvez você deva conversar com alguém: 52 sessões semanais para transformar sua vida', 'Morreste-me', 'A gente mira no amor e acerta na solidão', 'Paula', 'A coragem de não agradar: Como a filosofia pode ajudar você a se libertar da opinião dos outros, superar suas limitações e se tornar a pessoa que deseja']"
