position,name,publisher/author,num. of reviews,cover type,price
#1,Revista Veja [ed.2865] - 27/10/2023,Veja,28,eBook Kindle,"R$ 20,00"
#2,Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso,Napoleon Hill,40.064,Capa comum,"R$ 25,90"
#3,A mulher em mim,Britney Spears,318,Capa dura,"R$ 104,51"
#4,O Príncipe Maquiavel - Edição de Luxo: Acompanha marcador de páginas,Nicolau Maquiavel,1.812,Capa dura,"R$ 19,90"
#5,A Arte de ter Razão - 38 Estratagemas para Vencer um Debate Sem Precisar Ter Razão,Arthur Schopenhauer,426,eBook Kindle,"R$ 1,90"
#6,A arte de ter razão: 38 estratagemas,Arthur Schopenhauer,4.179,Capa comum,"R$ 8,99"
#7,A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,Ana Claudia Quintana Arantes,16.569,Capa comum,"R$ 39,92"
#8,Descolonizando afetos: Experimentações sobre outras formas de amar,Geni Núñez,4,Capa comum,"R$ 50,40"
#9,Aurora: O despertar da mulher exausta,Marcela Ceribelli,2.162,Capa comum,"R$ 34,68"
#10,Biblioteca Estoica: Grandes Mestres Volume 01 - Box com 4 Livros,Camelot Editora,1.772,Capa comum,"R$ 49,90"
#11,"Talvez você deva conversar com alguém: Uma terapeuta, o terapeuta dela e a vida de todos nós",Lori Gottlieb,15.038,Capa comum,"R$ 56,40"
#12,O pacto da branquitude,Cida Bento,2.483,Capa comum,"R$ 25,94"
#13,Em busca de mim,Viola Davis,8.664,Capa comum,"R$ 31,99"
#14,Textos para tocar cicatrizes - Textos cruéis demais,Igor Pires,1.678,Capa comum,"R$ 28,99"
#15,#umdiasemreclamar: Descubra por que a gratidão pode mudar a sua vida,Davi Lago,3.520,Capa comum,"R$ 25,99"
#16,A mulher em mim (Pré-venda com camiseta exclusiva),Britney Spears,318,Acessório,"R$ 115,72"
#17,Pequeno manual antirracista,Djamila Ribeiro,27.980,Capa comum,"R$ 17,99"
#18,Comunicação não violenta - Nova edição: Técnicas para aprimorar relacionamentos pessoais e profissionais,Marshall B. Rosenberg,4.179,Capa comum,"R$ 74,18"
#19,Atitude mental positiva,Napoleon Hill,5.301,Capa comum,"R$ 23,99"
#20,12 regras para a vida: um antídoto para o caos,Jordan B. Peterson,18.175,Capa comum,"R$ 47,02"
#21,"A coragem de não agradar: Como a filosofia pode ajudar você a se libertar da opinião dos outros, superar suas limitações e se tornar a pessoa que deseja",Ichiro Kishimi,10.368,Capa comum,"R$ 40,67"
#22,Mulheres que correm com os lobos: Mitos e histórias do arquétipo da Mulher Selvagem,Clarissa Pinkola Estés,33.056,Capa dura,"R$ 53,82"
#23,Revista Veja [ed.2864] - 20/10/2023,Veja,38,eBook Kindle,"R$ 20,00"
#24,Sociedade do cansaço,Byung-Chul Han,12.750,Livro de bolso,"R$ 26,99"
#25,O Cérebro da Criança: 12 estratégias revolucionárias para nutrir a mente em desenvolvimento do seu filho e ajudar sua família a prosperar,Daniel J. Siegel,10.319,Capa comum,"R$ 47,94"
#26,Cartas de um diabo a seu aprendiz,C. S. Lewis,16.147,Capa dura,"R$ 31,99"
#27,Revista Veja [ed.2863] - 13/10/2023,Veja,57,eBook Kindle,"R$ 20,00"
#28,Revista Veja [ed.2862] - 06/10/2023,Veja,78,eBook Kindle,"R$ 20,00"
#29,Racismo Estrutural (Feminismos Plurais),Silvio Almeida,7.350,eBook Kindle,"R$ 29,00"
#30,Quem pensa enriquece - o legado: O legado,Napoleon Hill,13.520,Capa comum,"R$ 38,90"
#31,A fé e o fuzil: Crime e religião no Brasil do século XXI,Bruno Paes Manso,49,Capa comum,"R$ 66,00"
#32,"Mentes Inquietas: TDAH: desatenção, hiperatividade e impulsividade",Dra. Ana Beatriz Barbosa Silva,3.791,Capa comum,"R$ 37,99"
#33,O corpo fala: A linguagem silenciosa da comunicação não verbal,Pierre Weil,5.190,Capa comum,"R$ 42,99"
#34,O ato criativo: Uma forma de ser,Rick Rubin,92,Capa comum,"R$ 57,45"
#35,Manual do luto,Carpinejar,111,Capa comum,"R$ 45,73"
#36,"Como Vencer Um Debate Sem Precisar Ter Razão, Em 38 Estratagemas. Dialética Erística",Olavo De Carvalho,893,Capa comum,"R$ 30,15"
#37,O ano do pensamento mágico,Marina Vargas,909,Capa comum,"R$ 41,63"
#38,"Diário estoico: 366 lições sobre sabedoria, perseverança e a arte de viver",Ryan Holiday,1.720,Capa comum,"R$ 52,89"
#39,Manifesto antimaternalista: Psicanálise e políticas da reprodução,Vera Iaconelli,68,Capa comum,"R$ 49,90"
#40,"Racionalidade: O que é, por que parece estar em falta, por que é importante",Steven Pinker,309,eBook Kindle,"R$ 10,49"
#41,Biblioteca Estoica: Grandes Mestres Volume 02 - Box com 4 livros,Sêneca,37,Capa comum,"R$ 49,90"
#42,"O menino, a toupeira, a raposa e o cavalo",Charlie Mackesy,4.025,Capa dura,"R$ 67,92"
#43,Box Grandes Mestres do Estoicismo: Edição especial com postais e marcadores,Epicteto de Hierápolis,1.970,Capa comum,"R$ 60,72"
#44,Meditações: Edição com postais + marcador (Coleção Grandes Mestres do Estoicismo),Marco Aurélio,6.598,Capa comum,"R$ 30,73"
#45,Como ser um educador antirracista: Para familiares e professores,Bárbara Carine Soares Pinheiro,556,Capa comum,"R$ 34,77"
#46,Os ricos e os pobres: O Brasil e a desigualdade,Marcelo Medeiros,1,Capa comum,"R$ 71,95"
#47,Meditações: O diário do imperador estóico Marco Aurélio,Marco Aurélio,1.196,Capa comum,"R$ 26,99"
#48,Passaporte 2030: O sequestro silencioso da liberdade,Guilherme Fiuza,2.003,Capa comum,"R$ 12,71"
#49,O Jardim das Aflições,Olavo de Carvalho,1.610,Capa comum,"R$ 59,79"
#50,Ideologias,Gabriela Prioli,582,eBook Kindle,"R$ 29,90"
#51,Da Silva: a Grande Fake News da Esquerda: o Perfil de um Criminoso Conhecido e Famoso Pela Alcunha Lampião,Pavinatto,1.062,Capa comum,"R$ 38,71"
#52,Como as democracias morrem,Steven Levitsky,10.519,Capa comum,"R$ 33,99"
#53,Futuro ancestral,Ailton Krenak,1.303,Capa comum,"R$ 30,72"
