position,name,publisher/author,num. of reviews,cover type,price
#1,Como enfrentar o ódio (livro + brindes): A internet e a luta pela democracia,Felipe Neto,,Acessório,"R$ 69,90"
#2,Café com Deus Pai 2024: Porções Diárias de paz,Júnior Rostirola,4.721,Capa comum,"R$ 63,29"
#3,Pré-Escrita - Coleção Aprenda em Casa,Vários Autores,6.420,Capa flexível,"R$ 1,20"
#4,O homem mais rico da Babilônia,George S Clason,38.327,Capa comum,"R$ 21,90"
#5,A Biblioteca da Meia-Noite,Matt Haig,43.938,Capa comum,"R$ 37,74"
#6,"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade",Morgan Housel,16.081,Capa comum,"R$ 38,40"
#7,O Deus que destrói sonhos,Rodrigo Bibo,11.968,Capa dura,"R$ 25,90"
#8,Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma : Português,James Clear,17.328,Capa comum,"R$ 48,70"
#9,Fogo & Sangue – Volume 1,George R. R. Martin,11.071,Capa comum,"R$ 68,69"
#10,"CONAN, O CIMÉRIO – EDIÇÃO DEFINITIVA (VOLUME 4)",Robert E. Howard,,Capa dura,"R$ 97,90"
#11,É Assim que Acaba: 1,Colleen Hoover,78.710,Capa comum,"R$ 44,90"
#12,O animal social,Elliot Aronson,439,Capa comum,"R$ 69,90"
#13,Persuasão: edição bolso de luxo,Jane Austen,893,Livro de bolso,"R$ 46,65"
#14,O retrato de Dorian Gray,Oscar Wilde,,Capa dura,"R$ 59,95"
#15,Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso,Napoleon Hill,46.199,Capa comum,"R$ 29,90"
#16,Tudo Sobre o Amor,Bell Hooks,5.227,Capa comum,"R$ 37,80"
#17,A gente mira no amor e acerta na solidão,Ana Suy,10.926,Capa comum,"R$ 33,33"
#18,O poder da autorresponsabilidade: Livro de bolso: A ferramenta comprovada que gera alta performance e resultados em pouco tempo,Paulo Vieira,11.365,Livro de bolso,"R$ 10,00"
#19,"Olá, Bebê! Um livrinho Contraste de Banho: Primeiras Palavras",Todolivro,491,Livro de espuma,"R$ 10,00"
#20,Tudo é rio,Carla Madeira,42.045,Capa comum,"R$ 39,10"
#21,Gatilhos Mentais: O Guia Completo com Estratégias de Negócios e Comunicações Provadas Para Você Aplicar,Gustavo Ferreira,13.790,Capa comum,"R$ 36,26"
#22,Perigoso!,Tim Warnes,21.400,Capa comum,"R$ 18,87"
#23,Como fazer amigos e influenciar pessoas,Dale Carnegie,16.817,Capa comum,"R$ 44,92"
#24,É assim que começa (Vol. 2 É assim que acaba),Colleen Hoover,48.760,Capa comum,"R$ 41,90"
#25,Assistente do Vilão (Sucesso no TikTok),Hannah Nicole Maehrer,1.143,Capa comum,"R$ 32,94"
#26,Animais de estimacao para colorir,VÁRIOS AUTORES,726,Capa dura,"R$ 2,50"
#27,Sou péssimo em português,Cíntia Chagas,4.429,Capa comum,"R$ 33,91"
#28,"A coragem de ser imperfeito: Como aceitar a própria vulnerabilidade, vencer a vergonha e ousar ser quem você é",Brené Brown,20.585,Capa comum,"R$ 31,44"
#29,A arte da guerra,Sun Tzu,6.668,Capa comum,"R$ 10,73"
#30,Barbie Dreamtopia - Um elefante esquecido,Ciranda Cultural,406,"Canoa, Grampeado ou Costurado","R$ 1,90"
#31,Verity,Colleen Hoover,44.207,Capa comum,"R$ 42,31"
#32,Onde Está a Bluey?: Um Livro de Esconde-Esconde,On Line Editora,412,Capa comum,"R$ 16,98"
#33,Patrulha Canina - Verdadeiros campeões,Ciranda Cultural,1.141,"Canoa, Grampeado ou Costurado","R$ 1,62"
#34,O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),Philippa Perry,6.954,Capa comum,"R$ 40,68"
#35,Minhas 100 primeiras palavras,Ciranda Cultural,5.248,Capa dura,"R$ 12,87"
#36,Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas,T. Harv Eker,38.684,Capa comum,"R$ 37,42"
#37,Como se tornar sobrenatural: Pessoas comuns realizando o extraordinário,Dr. Joe Dizpenza,2.603,Capa comum,"R$ 30,70"
#38,Café com Deus Pai: Porções Diárias de Renovação,Júnior Rostirola,6.829,Capa comum,"R$ 32,90"
#51,As coisas que você só vê quando desacelera: Como manter a calma em um mundo frenético,Haemin Sunim,16.928,Capa dura,"R$ 44,92"
#52,As 48 leis do poder: Edição concisa,Robert Greene,12.005,Capa comum,"R$ 35,20"
#53,Quem pensa enriquece - o legado: O legado,Napoleon Hill,15.459,Capa comum,"R$ 24,99"
#54,"Em Busca De Sentido: Um psicólogo no campo de concentração -o número de edições pode variar, mas o conteúdo é o mesmo",Viktor E. Frankl,9.082,Capa comum,"R$ 50,40"
#55,Nação dopamina: Por que o excesso de prazer está nos deixando infelizes e o que podemos fazer para mudar (leia também Nação tarja preta),Dra. Anna Lembke,6.167,Capa comum,"R$ 42,90"
#56,Torto arado,Itamar Vieira Junior,38.147,Capa comum,"R$ 47,19"
#57,O Pequeno Príncipe - Edição de Luxo Almofadada,Antoine de Saint-Exupéry,8.347,Capa dura,"R$ 19,90"
#58,12 Regras Para a Vida: Um Antídoto Para o Caos,Jordan B. Peterson,20.257,Capa comum,"R$ 41,52"
#59,Deixe de ser pobre: Os segredos para você sair da pindaíba e conquistar sua independência financeira,Eduardo Feldberg,1.513,Capa comum,"R$ 32,41"
#60,Ego Transformado,Timothy Keller,14.371,Capa comum,"R$ 11,64"
#61,Mestres Russos,Alexandre Pushkin,265,Capa comum,"R$ 20,06"
#62,Montessori Meu Primeiro livro... Descobrindo as Emoções (Escolinha),Chiara Piroddi,2.511,Capa dura,"R$ 12,45"
#63,Como convencer alguém em 90 segundos: Crie uma primeira impressão vendedora,Nicholas Boothman,14.884,Capa comum,"R$ 37,40"
#64,Emocionário: Diga o que você sente,Cristina Núñez Pereira,7.297,Capa dura,"R$ 52,43"
#65,Meu Livro Fofinho: Bíblia do Bebê,Todolivro,133,Capa dura,"R$ 10,00"
#66,Confissões de Santo Agostinho - Edição de Luxo Almofadada,de Hipona,2.501,Capa dura,"R$ 34,90"
#67,"Pai Rico, pai Pobre: Edição de 20 Anos Atualizada e Ampliada",Kiyosaki Robert T,26.539,Capa comum,"R$ 68,85"
#68,Minhas Primeiras Histórias Disney - O Bom Dinossauro,Bicho Esperto,2.776,Capa comum,"R$ 6,90"
